ligand,status,best_affinity_kcal_per_mol,log_path,out_path
Latrunculin_B_conf2_ligand_1.pdbqt,OK,-6.5,vina_results_ADP\Latrunculin_B_conf2_ligand_1.log,vina_results_ADP\Latrunculin_B_conf2_ligand_1_out.pdbqt
Latrunculin_B_conf3_ligand_1.pdbqt,OK,-6.8,vina_results_ADP\Latrunculin_B_conf3_ligand_1.log,vina_results_ADP\Latrunculin_B_conf3_ligand_1_out.pdbqt
Lobophorolide_conf1_ligand_1.pdbqt,OK,-6.4,vina_results_ADP\Lobophorolide_conf1_ligand_1.log,vina_results_ADP\Lobophorolide_conf1_ligand_1_out.pdbqt
Lobophorolide_conf2_ligand_1.pdbqt,OK,-6.1,vina_results_ADP\Lobophorolide_conf2_ligand_1.log,vina_results_ADP\Lobophorolide_conf2_ligand_1_out.pdbqt
Lobophorolide_conf3_ligand_1.pdbqt,OK,-5.4,vina_results_ADP\Lobophorolide_conf3_ligand_1.log,vina_results_ADP\Lobophorolide_conf3_ligand_1_out.pdbqt
Mycalolide_B_conf1_ligand_1.pdbqt,OK,-4.6,vina_results_ADP\Mycalolide_B_conf1_ligand_1.log,vina_results_ADP\Mycalolide_B_conf1_ligand_1_out.pdbqt
Mycalolide_B_conf2_ligand_1.pdbqt,OK,-5.8,vina_results_ADP\Mycalolide_B_conf2_ligand_1.log,vina_results_ADP\Mycalolide_B_conf2_ligand_1_out.pdbqt
Mycalolide_B_conf3_ligand_1.pdbqt,OK,-6.1,vina_results_ADP\Mycalolide_B_conf3_ligand_1.log,vina_results_ADP\Mycalolide_B_conf3_ligand_1_out.pdbqt
Phalloidin_conf1_ligand_1.pdbqt,OK,-6.3,vina_results_ADP\Phalloidin_conf1_ligand_1.log,vina_results_ADP\Phalloidin_conf1_ligand_1_out.pdbqt
Phalloidin_conf2_ligand_1.pdbqt,OK,-5.7,vina_results_ADP\Phalloidin_conf2_ligand_1.log,vina_results_ADP\Phalloidin_conf2_ligand_1_out.pdbqt
Phalloidin_conf3_ligand_1.pdbqt,OK,-6.7,vina_results_ADP\Phalloidin_conf3_ligand_1.log,vina_results_ADP\Phalloidin_conf3_ligand_1_out.pdbqt
Reidispongiolide_A_conf1_ligand_1.pdbqt,OK,-5.2,vina_results_ADP\Reidispongiolide_A_conf1_ligand_1.log,vina_results_ADP\Reidispongiolide_A_conf1_ligand_1_out.pdbqt
Reidispongiolide_A_conf2_ligand_1.pdbqt,OK,-5.5,vina_results_ADP\Reidispongiolide_A_conf2_ligand_1.log,vina_results_ADP\Reidispongiolide_A_conf2_ligand_1_out.pdbqt
Reidispongiolide_A_conf3_ligand_1.pdbqt,OK,-5.4,vina_results_ADP\Reidispongiolide_A_conf3_ligand_1.log,vina_results_ADP\Reidispongiolide_A_conf3_ligand_1_out.pdbqt
Sphinxolide_B_conf1_ligand_1.pdbqt,OK,-5.3,vina_results_ADP\Sphinxolide_B_conf1_ligand_1.log,vina_results_ADP\Sphinxolide_B_conf1_ligand_1_out.pdbqt
Sphinxolide_B_conf2_ligand_1.pdbqt,OK,-5.5,vina_results_ADP\Sphinxolide_B_conf2_ligand_1.log,vina_results_ADP\Sphinxolide_B_conf2_ligand_1_out.pdbqt
Sphinxolide_B_conf3_ligand_1.pdbqt,OK,-5.2,vina_results_ADP\Sphinxolide_B_conf3_ligand_1.log,vina_results_ADP\Sphinxolide_B_conf3_ligand_1_out.pdbqt
Swinholide_A_conf1_ligand_1.pdbqt,OK,-4.8,vina_results_ADP\Swinholide_A_conf1_ligand_1.log,vina_results_ADP\Swinholide_A_conf1_ligand_1_out.pdbqt
Swinholide_A_conf2_ligand_1.pdbqt,OK,-4.9,vina_results_ADP\Swinholide_A_conf2_ligand_1.log,vina_results_ADP\Swinholide_A_conf2_ligand_1_out.pdbqt
Swinholide_A_conf3_ligand_1.pdbqt,OK,-5.8,vina_results_ADP\Swinholide_A_conf3_ligand_1.log,vina_results_ADP\Swinholide_A_conf3_ligand_1_out.pdbqt
Ulapualide_A_conf1_ligand_1.pdbqt,OK,-6.1,vina_results_ADP\Ulapualide_A_conf1_ligand_1.log,vina_results_ADP\Ulapualide_A_conf1_ligand_1_out.pdbqt
Ulapualide_A_conf2_ligand_1.pdbqt,OK,-6.5,vina_results_ADP\Ulapualide_A_conf2_ligand_1.log,vina_results_ADP\Ulapualide_A_conf2_ligand_1_out.pdbqt
Ulapualide_A_conf3_ligand_1.pdbqt,OK,-6.0,vina_results_ADP\Ulapualide_A_conf3_ligand_1.log,vina_results_ADP\Ulapualide_A_conf3_ligand_1_out.pdbqt
