Aplyronine D,,0.075 IC₅₀ in HeLa S3 (ng/mL),-10.15,0,C[C@@H]1CC[C@@H](/C(=C/C[C@H](C[C@H](/C=C/C[C@H](OC(=O)/C=C/C=C/C[C@H]([C@H]([C@@H]1O)C)OC(=O)C(COC)N(C)C)[C@@H](C)[C@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)CN(C)C)O)OC)C)/C)OC ,Barbed_end_binding,Aplyronine
Aplyronine H,,10.4 IC₅₀ in HeLa S3 (ng/mL),-8.01,1,[H][C@]1(C\C=C\[C@@H](C[C@H](C)C\C=C(C)\[C@H](CC[C@@H](C)[C@@H](OC(=O)C(COC)NC)[C@H](C)[C@H](O)C\C=C\C=C\C(=O)O1)OC)OC)[C@@H](C)[C@@H](O)[C@@H](C)CC[C@@H](OC(=O)C(C)N(C)C)[C@H](C)[C@H](OC(C)=O)[C@H](C)\C=C\N(C)C=O,Barbed_end_binding,Aplyronine
Mycalolide C,,2.5 μg/mL average[130],-5.6,2,C[C@@H]1[C@H](C/C=C\C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)[C@H]([C@H](C(=O)/C=C/C[C@@H](CC(=O)O[C@H]1C[C@@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)[C@@H](C)OC)OC)O)C)OC)OC ,Barbed_end_binding,Trisoxazoles
Mycalolide D,,0.6 μg/mL average[130],-6.22,2,CC1CC(=O)/C=C/CC(CC(=O)OC(C(C(C/C=C/C2=NC(=CO2)C3=NC(=CO3)C(=O)NC1=O)OC)C)CC(C(C)CCC(C(C)C(C(C)/C=C/N(C)C=O)OC(=O)C)OC(=O)C(COC)OC)OC)O  ,Barbed_end_binding,Trisoxazoles
Halichondramide,,0.68 µg/ml in PC3 [135],-6.09,2,CC1CC/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)C(C(C(=O)/C=C/CC(CC(=O)OC1CC(C(C)CCC(=O)C(C)C(C/C=C/N(C)C=O)OC)OC)O)C)OC,Barbed_end_binding,Trisoxazoles
Halishigamide A,,0.012 μg/ml in KB [136],-7.85,1,C[C@@H]1CC/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)[C@H]([C@H](C(=O)C[C@H](C[C@@H](CC(=O)O[C@H]1C[C@@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H](C/C=C/N(C)C=O)OC)OC)O)N)C)OC ,Barbed_end_binding,Trisoxazoles
Mycalolide A,,0.5 - 1.0 ng/mL in B16 [129],-8.96,0,C[C@@H]1[C@H](C/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)[C@H]([C@H](C(=O)/C=C/C[C@@H](CC(=O)O[C@H]1C[C@@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC)O)C)OC)OC ,Barbed_end_binding,Trisoxazoles
Sphinxolide F,,Log IC50 -7.2,-7.2,1,CC1/C=C/C(CC(C([C@H]2[C@H](C(=CC(=O)O2)C(C(CC3(C(O3)/C=C/C(=O)OC(C(/C=C/C(CC1O)OC)C)C(C)C(C(C)CCC(=O)C(C)C(C/C=C/N(C)C=O)OC)OC)C)OC)OC)O)C)OC)OC  ,Barbed_end_binding,Sphinxolide
Sphinxolide E,,Log IC50 -8.1,-8.1,1,CC1/C=C/C(CC(C([C@H]2[C@H](C(=CC(=O)O2)C(C(C/C(=C/C=C/C(=O)OC(C(/C=C/C(CC1O)OC)C)C(C)C(C(C)CCC(=O)C(C)C(CC(=O)O)OC)OC)/C)OC)OC)O)C)OC)OC,Barbed_end_binding,Sphinxolide
Sphinxolide D,,22 ng/mL in HT29,-7.64,1,CC1/C=C/C(CC(C([C@H]2[C@H](C(=CC(=O)O2)CC(C/C(=C/C=C/C(=O)OC(C(/C=C/C(CC1OC)O)C)C(C)C(C(C)CCC(=O)C(C)C(C/C=C/N(C)C=O)OC)OC)/C)OC)O)C)OC)OC,Barbed_end_binding,Sphinxolide
Reidispongiolide B,,0.04 μg/mL in HT29 [122],-7.37,1,C(=C(/C)CC(OC)CC(=CC(O1)=O)CC1C(C)C(OC)CC(OC)C=CC(C)C(O)CC(OC)C=CC(C(O2)C(C)C(C(C)CCC(C(C)C(CC=CN(C=O)C)OC)=O)OC)C)/C=C/C2=O,Barbed_end_binding,Reidispongiolide
Latrunculin A,1IJJ,4.19 µM in MDA-MB-231,-5.4,2,C[C@H]/1CC[C@@H]2C[C@H](C[C@@](O2)([C@@H]3CSC(=O)N3)O)OC(=O)/C=C(\CC/C=C/C=C1)/C,G-actin binding,NA
